Generating SQLite file ./report_3.sqlite from ./report_3.nsys-rep
Processing [./report_3.sqlite] with [/opt/nvidia/nsight-systems/2024.1.1/host-linux-x64/reports/cuda_gpu_trace.py](start=510000000:end=13880000000) to process [@grep -E (Start*|ncclKernel_SendRecv*)]...
Start (us)  Duration (us)  CorrId  GrdX  GrdY  GrdZ  BlkX  BlkY  BlkZ  Reg/Trd  StcSMem (MB)  DymSMem (MB)  Bytes (MB)  Throughput (MB/s)  SrcMemKd  DstMemKd           Device            Ctx  GreenCtx  Strm                                                  Name
 682613.168        902.494  588691     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (3)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 682643.631        857.091  588788     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (1)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 684512.500        973.251  589099     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (1)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 684514.890       1051.486  588994     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (2)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 684531.307        962.238  589002     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (3)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 698321.402        929.475  591255     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (1)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 698365.100       1000.030  591158     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (3)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 698448.904        818.910  591150     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (2)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 700261.087       1422.340  591566     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (1)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
 700273.283       1390.621  591461     8     1     1   640     1     1       96         0.005         0.082                                                     NVIDIA A100-SXM4-80GB (2)    1              48  ncclKernel_SendRecv_RING_SIMPLE_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)                
